"time","num_instructions","location","block","condition","success","participant_id"
4.10279700000001,3,"rep_3",2,"tactile","success",3558
2.65513460000011,2,"rep_8",2,"tactile","success",3558
3.4954753999998,2,"6",3,"auditory","success",3558
3.70545579999998,3,"9",3,"auditory","success",3558
3.66282410000008,3,"1",3,"auditory","success",3558
3.00357299999996,2,"4",3,"auditory","success",3558
3.33019310000009,2,"2",3,"auditory","success",3558
2.58863170000018,2,"8",3,"auditory","success",3558
3.75440179999987,3,"7",3,"auditory","success",3558
3.88400320000005,3,"3",3,"auditory","success",3558
2.69321179999997,2,"4",3,"tactile","success",3558
2.99430419999999,2,"6",3,"tactile","success",3558
2.57442880000008,2,"8",3,"tactile","success",3558
4.38258970000015,3,"1",3,"tactile","success",3558
3.62050859999999,3,"9",3,"tactile","success",3558
3.55757889999995,2,"2",3,"tactile","success",3558
4.22008099999994,3,"3",3,"tactile","success",3558
3.11965729999997,3,"7",3,"tactile","success",3558
18.4462020000001,2,"9",1,"tactile","fail",4165
19.8586898999999,2,"2",1,"tactile","success",4165
7.78345990000003,2,"6",1,"tactile","success",4165
6.79620730000011,2,"4",1,"tactile","success",4165
5.26814880000006,2,"8",1,"tactile","success",4165
7.75184719999993,3,"7",1,"tactile","success",4165
7.77107380000007,3,"3",1,"tactile","success",4165
8.23386770000002,3,"1",1,"tactile","success",4165
6.44353530000012,2,"2",1,"auditory","success",4165
5.71880209999995,3,"9",1,"auditory","success",4165
3.78525220000006,2,"8",1,"auditory","success",4165
6.08801210000001,3,"1",1,"auditory","success",4165
6.53433719999998,3,"3",1,"auditory","success",4165
